"","NOC","Medal","Year","Sport","Event","City"
"5136","BRA","Bronze",2000,"Volleyball","Volleyball Women's Volleyball","Sydney"
"5137","USA","Gold",2008,"Shooting","Shooting Men's Double Trap","Beijing"
"5138","GER","Gold",1932,"Rowing","Rowing Men's Coxed Fours","Los Angeles"
"5139","GBR","Silver",1908,"Shooting","Shooting Men's Running Target, Single Shot, Team","London"
"5140","NOR","Bronze",1920,"Rowing","Rowing Men's Coxed Eights","Antwerpen"
"5141","GBR","Gold",1896,"Weightlifting","Weightlifting Men's Unlimited, One Hand","Athina"
"5142","GBR","Silver",1896,"Weightlifting","Weightlifting Men's Unlimited, Two Hands","Athina"
"5143","AUS","Gold",1960,"Athletics","Athletics Men's 1,500 metres","Roma"
"5144","GBR","Silver",1924,"Boxing","Boxing Men's Middleweight","Paris"
"5145","GBR","Silver",1988,"Athletics","Athletics Men's 1,500 metres","Seoul"
"5146","USA","Bronze",1964,"Swimming","Swimming Women's 100 metres Freestyle","Tokyo"
"5147","USA","Bronze",1964,"Swimming","Swimming Women's 100 metres Butterfly","Tokyo"
"5148","USA","Gold",1964,"Swimming","Swimming Women's 4 x 100 metres Medley Relay","Tokyo"
"5149","GBR","Bronze",2016,"Badminton","Badminton Men's Doubles","Rio de Janeiro"
"5150","USA","Bronze",1988,"Boxing","Boxing Men's Lightweight","Seoul"
"5151","USA","Gold",2016,"Athletics","Athletics Women's 4 x 400 metres Relay","Rio de Janeiro"
"5152","USA","Silver",2012,"Archery","Archery Men's Team","London"
"5153","USA","Bronze",2016,"Archery","Archery Men's Individual","Rio de Janeiro"
"5154","USA","Silver",2016,"Archery","Archery Men's Team","Rio de Janeiro"
"5155","IRI","Bronze",1960,"Weightlifting","Weightlifting Men's Bantamweight","Roma"
"5156","USA","Gold",2016,"Rowing","Rowing Women's Coxed Eights","Rio de Janeiro"
"5157","SWE","Silver",1948,"Athletics","Athletics Men's 3,000 metres Steeplechase","London"
"5158","USA","Bronze",1948,"Diving","Diving Women's Springboard","London"
"5159","USA","Silver",1948,"Diving","Diving Women's Platform","London"
"5160","FRA","Bronze",1920,"Boxing","Boxing Men's Heavyweight","Antwerpen"
"5161","DEN","Gold",1948,"Sailing","Sailing Mixed One Person Dinghy","London"
"5162","DEN","Gold",1952,"Sailing","Sailing Mixed One Person Dinghy","Helsinki"
"5163","DEN","Gold",1956,"Sailing","Sailing Mixed One Person Dinghy","Melbourne"
"5164","DEN","Gold",1960,"Sailing","Sailing Mixed One Person Dinghy","Roma"
"5165","FRA","Bronze",2012,"Judo","Judo Women's Half-Middleweight","London"
"5166","BRA","Gold",2004,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","Athina"
"5167","BRA","Bronze",2008,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","Beijing"
"5168","USA","Silver",1984,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Los Angeles"
"5169","URS","Silver",1980,"Diving","Diving Women's Platform","Moskva"
"5170","USA","Gold",1904,"Gymnastics","Gymnastics Men's Individual All-Around, Field Sports","St. Louis"
"5171","USA","Gold",2004,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Athina"
"5172","USA","Silver",2008,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Beijing"
"5173","USA","Bronze",2012,"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres","London"
"5174","GBR","Silver",2004,"Badminton","Badminton Mixed Doubles","Athina"
"5175","JPN","Gold",2008,"Softball","Softball Women's Softball","Beijing"
"5176","JPN","Gold",1996,"Judo","Judo Women's Half-Middleweight","Atlanta"
"5177","USA","Bronze",1924,"Athletics","Athletics Men's 800 metres","Paris"
"5178","GDR","Silver",1972,"Swimming","Swimming Women's 200 metres Individual Medley","Munich"
"5179","GDR","Gold",1976,"Swimming","Swimming Women's 100 metres Freestyle","Montreal"
"5180","GDR","Gold",1976,"Swimming","Swimming Women's 200 metres Freestyle","Montreal"
"5181","GDR","Silver",1976,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Montreal"
"5182","GDR","Gold",1976,"Swimming","Swimming Women's 100 metres Butterfly","Montreal"
"5183","GER","Bronze",2008,"Cycling","Cycling Men's Team Sprint","Beijing"
"5184","GER","Bronze",2012,"Cycling","Cycling Men's Team Sprint","London"
"5185","JPN","Bronze",1976,"Judo","Judo Men's Heavyweight","Montreal"
"5186","JPN","Gold",1964,"Gymnastics","Gymnastics Men's Individual All-Around","Tokyo"
"5187","JPN","Gold",1964,"Gymnastics","Gymnastics Men's Team All-Around","Tokyo"
"5188","JPN","Silver",1964,"Gymnastics","Gymnastics Men's Floor Exercise","Tokyo"
"5189","JPN","Gold",1964,"Gymnastics","Gymnastics Men's Parallel Bars","Tokyo"
"5190","JPN","Gold",1968,"Gymnastics","Gymnastics Men's Team All-Around","Mexico City"
"5191","JPN","Silver",1968,"Gymnastics","Gymnastics Men's Horse Vault","Mexico City"
"5192","EST","Silver",2008,"Rowing","Rowing Men's Double Sculls","Beijing"
"5193","EST","Bronze",2016,"Rowing","Rowing Men's Quadruple Sculls","Rio de Janeiro"
"5194","USA","Gold",1952,"Sailing","Sailing Mixed 6 metres","Helsinki"
"5195","HUN","Gold",1932,"Boxing","Boxing Men's Flyweight","Los Angeles"
"5196","INA","Bronze",2004,"Badminton","Badminton Men's Doubles","Athina"
"5197","SWE","Bronze",1920,"Athletics","Athletics Men's 400 metres","Antwerpen"
"5198","GER","Bronze",1928,"Athletics","Athletics Men's 800 metres","Amsterdam"
"5199","GER","Silver",1928,"Athletics","Athletics Men's 4 x 400 metres Relay","Amsterdam"
"5200","USA","Silver",1904,"Athletics","Athletics Men's Triple Jump","St. Louis"
"5201","URS","Gold",1956,"Boxing","Boxing Men's Light-Welterweight","Melbourne"
"5202","BEL","Silver",1908,"Shooting","Shooting Men's Free Pistol, 50 yards, Team","London"
"5203","GER","Silver",2008,"Wrestling","Wrestling Men's Heavyweight, Greco-Roman","Beijing"
"5204","MGL","Gold",2008,"Boxing","Boxing Men's Bantamweight","Beijing"
"5205","GBR","Gold",2012,"Athletics","Athletics Women's Heptathlon","London"
"5206","GBR","Silver",2016,"Athletics","Athletics Women's Heptathlon","Rio de Janeiro"
"5207","USA","Gold",1984,"Rowing","Rowing Men's Double Sculls","Los Angeles"
"5208","FRA","Bronze",2008,"Taekwondo","Taekwondo Women's Welterweight","Beijing"
"5209","HUN","Bronze",2000,"Boxing","Boxing Men's Middleweight","Sydney"
"5210","URS","Silver",1956,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres","Melbourne"
"5211","HUN","Bronze",1996,"Handball","Handball Women's Handball","Atlanta"
"5212","HUN","Gold",1972,"Fencing","Fencing Men's epee, Team","Munich"
"5213","ROU","Bronze",2004,"Gymnastics","Gymnastics Women's Balance Beam","Athina"
"5214","USA","Silver",1932,"Gymnastics","Gymnastics Men's Club Swinging","Los Angeles"
"5215","KEN","Gold",1988,"Athletics","Athletics Men's 800 metres","Seoul"
"5216","FRG","Bronze",1984,"Equestrianism","Equestrianism Mixed Three-Day Event, Team","Los Angeles"
"5217","DEN","Silver",2012,"Rowing","Rowing Women's Single Sculls","London"
"5218","NOR","Silver",1920,"Sailing","Sailing Mixed 6 metres","Antwerpen"
"5219","NOR","Gold",1904,"Wrestling","Wrestling Men's Welterweight, Freestyle","St. Louis"
"5220","SWE","Gold",1912,"Sailing","Sailing Mixed 10 metres","Stockholm"
"5221","SWE","Bronze",1912,"Shooting","Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres","Stockholm"
"5222","SWE","Bronze",1920,"Shooting","Shooting Men's Military Rifle, Standing, 300 metres, Team","Antwerpen"
"5223","NOR","Silver",1948,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","London"
"5224","DEN","Bronze",1984,"Rowing","Rowing Women's Coxed Quadruple Sculls","Los Angeles"
"5225","DEN","Bronze",2004,"Badminton","Badminton Mixed Doubles","Athina"
"5226","DEN","Bronze",1920,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Antwerpen"
"5227","SWE","Silver",1980,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Moskva"
"5228","SWE","Gold",1948,"Athletics","Athletics Men's 1,500 metres","London"
"5229","SWE","Silver",1920,"Shooting","Shooting Men's Military Rifle, Prone, 600 metres","Antwerpen"
"5230","SWE","Silver",1920,"Shooting","Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team","Antwerpen"
"5231","TUR","Gold",1936,"Wrestling","Wrestling Men's Featherweight, Greco-Roman","Berlin"
"5232","FRA","Silver",1996,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Atlanta"
"5233","HUN","Silver",1906,"Gymnastics","Gymnastics Men's Rope Climbing","Athina"
"5234","TUR","Silver",2004,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Athina"
"5235","ITA","Silver",2012,"Fencing","Fencing Women's Foil, Individual","London"
"5236","USA","Gold",2000,"Swimming","Swimming Men's 50 metres Freestyle","Sydney"
"5237","USA","Gold",2016,"Swimming","Swimming Men's 50 metres Freestyle","Rio de Janeiro"
"5238","MEX","Bronze",1900,"Polo","Polo Men's Polo","Paris"
"5239","GER","Gold",1964,"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres","Tokyo"
"5240","ESP","Bronze",2004,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Athina"
"5241","ESP","Silver",2004,"Cycling","Cycling Men's Keirin","Athina"
"5242","GRE","Gold",1960,"Sailing","Sailing Mixed Three Person Keelboat","Roma"
"5243","FIN","Silver",1912,"Athletics","Athletics Men's Cross-Country, Team","Stockholm"
"5244","ESP","Silver",2000,"Taekwondo","Taekwondo Men's Flyweight","Sydney"
"5245","USA","Bronze",2012,"Boxing","Boxing Women's Flyweight","London"
"5246","USA","Bronze",1984,"Rowing","Rowing Men's Coxed Pairs","Los Angeles"
"5247","PUR","Silver",2012,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","London"
"5248","ARG","Silver",1996,"Sailing","Sailing Men's Windsurfer","Atlanta"
"5249","ARG","Silver",2000,"Sailing","Sailing Men's Windsurfer","Sydney"
"5250","ARG","Bronze",2004,"Sailing","Sailing Mixed Multihull","Athina"
"5251","ARG","Bronze",2008,"Sailing","Sailing Mixed Multihull","Beijing"
"5252","MEX","Bronze",2008,"Diving","Diving Women's Synchronized Platform","Beijing"
"5253","MEX","Silver",2012,"Diving","Diving Women's Synchronized Platform","London"
"5254","MEX","Gold",2008,"Taekwondo","Taekwondo Women's Heavyweight","Beijing"
"5255","MEX","Bronze",2012,"Taekwondo","Taekwondo Women's Heavyweight","London"
"5256","MEX","Silver",2016,"Taekwondo","Taekwondo Women's Heavyweight","Rio de Janeiro"
"5257","AUS","Gold",2016,"Modern Pentathlon","Modern Pentathlon Women's Individual","Rio de Janeiro"
"5258","FRA","Bronze",1992,"Swimming","Swimming Men's 200 metres Butterfly","Barcelona"
"5259","GER","Gold",1964,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Tokyo"
"5260","FRG","Gold",1968,"Canoeing","Canoeing Women's Kayak Doubles, 500 metres","Mexico City"
"5261","FRA","Bronze",1996,"Canoeing","Canoeing Men's Canadian Singles, Slalom","Atlanta"
"5262","FRA","Gold",2000,"Canoeing","Canoeing Men's Canadian Singles, Slalom","Sydney"
"5263","FRA","Gold",2004,"Canoeing","Canoeing Men's Canadian Singles, Slalom","Athina"
"5264","FRA","Gold",2012,"Canoeing","Canoeing Men's Canadian Singles, Slalom","London"
"5265","ESP","Silver",1976,"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres","Montreal"
"5266","RSA","Silver",1952,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Helsinki"
"5267","MEX","Bronze",2000,"Taekwondo","Taekwondo Men's Welterweight","Sydney"
"5268","USA","Gold",1924,"Shooting","Shooting Men's Trap, Team","Paris"
"5269","JPN","Silver",1984,"Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Los Angeles"
"5270","USA","Gold",1984,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Los Angeles"
"5271","SUI","Silver",1952,"Gymnastics","Gymnastics Men's Team All-Around","Helsinki"
"5272","SUI","Gold",1952,"Gymnastics","Gymnastics Men's Parallel Bars","Helsinki"
"5273","SUI","Bronze",1952,"Gymnastics","Gymnastics Men's Rings","Helsinki"
"5274","SWE","Bronze",2012,"Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman","London"
"5275","ITA","Bronze",1984,"Athletics","Athletics Men's Long Jump","Los Angeles"
"5276","CAN","Silver",1976,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Montreal"
"5277","USA","Bronze",1976,"Athletics","Athletics Men's 200 metres","Montreal"
"5278","GBR","Silver",2012,"Boxing","Boxing Men's Welterweight","London"
"5279","USA","Bronze",1904,"Water Polo","Water Polo Men's Water Polo","St. Louis"
"5280","USA","Bronze",1904,"Swimming","Swimming Men's 4 x 50 Yard Freestyle Relay","St. Louis"
"5281","USA","Gold",1988,"Swimming","Swimming Women's 400 metres Freestyle","Seoul"
"5282","USA","Gold",1988,"Swimming","Swimming Women's 800 metres Freestyle","Seoul"
"5283","USA","Gold",1988,"Swimming","Swimming Women's 400 metres Individual Medley","Seoul"
"5284","USA","Silver",1992,"Swimming","Swimming Women's 400 metres Freestyle","Barcelona"
"5285","USA","Gold",1992,"Swimming","Swimming Women's 800 metres Freestyle","Barcelona"
"5286","USA","Gold",1968,"Athletics","Athletics Men's 400 metres","Mexico City"
"5287","USA","Gold",1968,"Athletics","Athletics Men's 4 x 400 metres Relay","Mexico City"
"5288","AUS","Bronze",1980,"Swimming","Swimming Men's 100 metres Breaststroke","Moskva"
"5289","AUS","Bronze",1984,"Swimming","Swimming Men's 100 metres Breaststroke","Los Angeles"
"5290","USA","Silver",1948,"Sailing","Sailing Mixed One Person Dinghy","London"
"5291","GBR","Bronze",1972,"Boxing","Boxing Men's Light-Flyweight","Munich"
"5292","GBR","Silver",1908,"Boxing","Boxing Men's Heavyweight","London"
"5293","USA","Silver",1952,"Wrestling","Wrestling Men's Lightweight, Freestyle","Helsinki"
"5294","AUS","Gold",1924,"Diving","Diving Men's Plain High","Paris"
"5295","FRA","Gold",1996,"Cycling","Cycling Women's Points Race","Atlanta"
"5296","GBR","Silver",1932,"Athletics","Athletics Men's 3,000 metres Steeplechase","Los Angeles"
"5297","SUI","Silver",1972,"Fencing","Fencing Men's epee, Team","Munich"
"5298","SUI","Bronze",1976,"Fencing","Fencing Men's epee, Team","Montreal"
"5299","USA","Bronze",1988,"Athletics","Athletics Men's 400 metres","Seoul"
"5300","USA","Gold",1988,"Athletics","Athletics Men's 4 x 400 metres Relay","Seoul"
"5301","GER","Gold",2000,"Rowing","Rowing Women's Quadruple Sculls","Sydney"
"5302","NZL","Gold",2004,"Rowing","Rowing Women's Double Sculls","Athina"
"5303","NZL","Gold",2008,"Rowing","Rowing Women's Double Sculls","Beijing"
"5304","FRG","Bronze",1984,"Athletics","Athletics Women's Heptathlon","Los Angeles"
"5305","POR","Gold",2008,"Athletics","Athletics Men's Triple Jump","Beijing"
"5306","USA","Silver",1948,"Athletics","Athletics Men's 100 metres","London"
"5307","USA","Silver",1948,"Athletics","Athletics Men's 200 metres","London"
"5308","CAN","Gold",1908,"Shooting","Shooting Men's Trap","London"
"5309","USA","Gold",1900,"Athletics","Athletics Men's Standing High Jump","Paris"
"5310","USA","Gold",1900,"Athletics","Athletics Men's Standing Long Jump","Paris"
"5311","USA","Gold",1900,"Athletics","Athletics Men's Standing Triple Jump","Paris"
"5312","USA","Gold",1904,"Athletics","Athletics Men's Standing High Jump","St. Louis"
"5313","USA","Gold",1904,"Athletics","Athletics Men's Standing Long Jump","St. Louis"
"5314","USA","Gold",1904,"Athletics","Athletics Men's Standing Triple Jump","St. Louis"
"5315","USA","Gold",1906,"Athletics","Athletics Men's Standing High Jump","Athina"
"5316","USA","Gold",1906,"Athletics","Athletics Men's Standing Long Jump","Athina"
"5317","USA","Gold",1908,"Athletics","Athletics Men's Standing High Jump","London"
"5318","USA","Gold",1908,"Athletics","Athletics Men's Standing Long Jump","London"
"5319","GBR","Gold",1900,"Sailing","Sailing Mixed 2-3 Ton","Paris"
"5320","USA","Silver",1904,"Gymnastics","Gymnastics Men's Individual All-Around, 4 Events","St. Louis"
"5321","USA","Gold",1904,"Gymnastics","Gymnastics Men's Horse Vault","St. Louis"
"5322","USA","Gold",1904,"Gymnastics","Gymnastics Men's Parallel Bars","St. Louis"
"5323","USA","Bronze",1904,"Gymnastics","Gymnastics Men's Horizontal Bar","St. Louis"
"5324","USA","Gold",1904,"Gymnastics","Gymnastics Men's Rope Climbing","St. Louis"
"5325","USA","Silver",1904,"Gymnastics","Gymnastics Men's Side Horse","St. Louis"
"5326","MAR","Bronze",2000,"Athletics","Athletics Men's 3,000 metres Steeplechase","Sydney"
"5327","ITA","Silver",2012,"Shooting","Shooting Men's Trap","London"
"5328","HUN","Gold",1988,"Modern Pentathlon","Modern Pentathlon Men's Team","Seoul"
"5329","HUN","Gold",1956,"Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres","Melbourne"
"5330","MEX","Bronze",1964,"Boxing","Boxing Men's Bantamweight","Tokyo"
"5331","BRA","Silver",2008,"Beach Volleyball","Beach Volleyball Men's Beach Volleyball","Beijing"
"5332","ITA","Silver",1952,"Wrestling","Wrestling Men's Flyweight, Greco-Roman","Helsinki"
"5333","ITA","Silver",1956,"Wrestling","Wrestling Men's Flyweight, Greco-Roman","Melbourne"
"5334","ITA","Bronze",2008,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Beijing"
"5335","ITA","Gold",1928,"Cycling","Cycling Men's Team Pursuit, 4,000 metres","Amsterdam"
"5336","LAT","Silver",2000,"Athletics","Athletics Men's 50 kilometres Walk","Sydney"
"5337","URS","Gold",1988,"Wrestling","Wrestling Men's Lightweight, Freestyle","Seoul"
"5338","EUN","Gold",1992,"Wrestling","Wrestling Men's Lightweight, Freestyle","Barcelona"
"5339","EST","Bronze",1928,"Sailing","Sailing Mixed 6 metres","Amsterdam"
"5340","POL","Silver",1996,"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman","Atlanta"
"5341","ITA","Gold",1948,"Rowing","Rowing Men's Coxless Fours","London"
"5342","ITA","Gold",1956,"Cycling","Cycling Men's 1,000 metres Time Trial","Melbourne"
"5343","USA","Gold",1952,"Athletics","Athletics Women's 4 x 100 metres Relay","Helsinki"
"5344","SWE","Bronze",1936,"Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres","Berlin"
"5345","SWE","Bronze",1948,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","London"
"5346","GDR","Bronze",1988,"Gymnastics","Gymnastics Women's Team All-Around","Seoul"
"5347","GER","Silver",1912,"Swimming","Swimming Men's 100 metres Backstroke","Stockholm"
"5348","FRG","Bronze",1984,"Swimming","Swimming Men's 200 metres Freestyle","Los Angeles"
"5349","FRG","Silver",1984,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Los Angeles"
"5350","FRG","Bronze",1988,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Seoul"
"5351","FRA","Silver",1912,"Athletics","Athletics Men's 4 x 400 metres Relay","Stockholm"
"5352","GBR","Silver",1908,"Rowing","Rowing Men's Coxless Pairs","London"
"5353","GBR","Silver",1992,"Judo","Judo Women's Lightweight","Barcelona"
"5354","AUS","Gold",2000,"Archery","Archery Men's Individual","Sydney"
"5355","BRA","Bronze",2008,"Taekwondo","Taekwondo Women's Heavyweight","Beijing"
"5356","BRA","Bronze",1988,"Sailing","Sailing Mixed Two Person Keelboat","Seoul"
"5357","BRA","Bronze",2012,"Boxing","Boxing Men's Light-Heavyweight","London"
"5358","FRG","Gold",1972,"Athletics","Athletics Women's 800 metres","Munich"
"5359","FIN","Silver",1992,"Archery","Archery Men's Team","Barcelona"
"5360","ITA","Gold",1996,"Shooting","Shooting Men's Skeet","Atlanta"
"5361","CUB","Silver",1996,"Swimming","Swimming Men's 100 metres Backstroke","Atlanta"
"5362","NOR","Silver",1952,"Sailing","Sailing Mixed 5.5 metres","Helsinki"
"5363","USA","Silver",1924,"Diving","Diving Men's Platform","Paris"
"5364","TCH","Silver",1972,"Shooting","Shooting Mixed Rapid-Fire Pistol, 25 metres","Munich"
"5365","CHN","Silver",1996,"Gymnastics","Gymnastics Men's Team All-Around","Atlanta"
"5366","CHN","Bronze",1996,"Gymnastics","Gymnastics Men's Horizontal Bar","Atlanta"
"5367","CHN","Bronze",2016,"Gymnastics","Gymnastics Women's Team All-Around","Rio de Janeiro"
"5368","GDR","Bronze",1980,"Boxing","Boxing Men's Heavyweight","Moskva"
"5369","GBR","Bronze",1936,"Equestrianism","Equestrianism Men's Three-Day Event, Team","Berlin"
"5370","CRO","Gold",2016,"Sailing","Sailing Men's Two Person Dinghy","Rio de Janeiro"
"5371","ITA","Bronze",1948,"Wrestling","Wrestling Men's Heavyweight, Greco-Roman","London"
"5372","GBR","Gold",2012,"Athletics","Athletics Men's 5,000 metres","London"
"5373","GBR","Gold",2012,"Athletics","Athletics Men's 10,000 metres","London"
"5374","GBR","Gold",2016,"Athletics","Athletics Men's 5,000 metres","Rio de Janeiro"
"5375","GBR","Gold",2016,"Athletics","Athletics Men's 10,000 metres","Rio de Janeiro"
"5376","FRG","Bronze",1976,"Rowing","Rowing Men's Coxed Fours","Montreal"
"5377","USA","Gold",1984,"Equestrianism","Equestrianism Mixed Jumping, Individual","Los Angeles"
"5378","HUN","Bronze",1956,"Canoeing","Canoeing Men's Canadian Doubles, 10,000 metres","Melbourne"
"5379","HUN","Bronze",1960,"Canoeing","Canoeing Men's Canadian Doubles, 1,000 metres","Roma"
"5380","HUN","Gold",1992,"Wrestling","Wrestling Men's Middleweight, Greco-Roman","Barcelona"
"5381","HUN","Silver",1972,"Fencing","Fencing Women's Foil, Individual","Munich"
"5382","HUN","Silver",1972,"Fencing","Fencing Women's Foil, Team","Munich"
"5383","HUN","Bronze",1976,"Fencing","Fencing Women's Foil, Team","Montreal"
"5384","USA","Silver",1992,"Athletics","Athletics Women's 400 metres Hurdles","Barcelona"
"5385","USA","Gold",1904,"Rowing","Rowing Men's Coxless Pairs","St. Louis"
"5386","USA","Bronze",1968,"Athletics","Athletics Men's 800 metres","Mexico City"
"5387","BAH","Bronze",1956,"Sailing","Sailing Mixed Two Person Keelboat","Melbourne"
"5388","FRG","Silver",1972,"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay","Munich"
"5389","SWE","Bronze",1900,"Athletics","Athletics Men's Marathon","Paris"
"5390","ITA","Silver",1936,"Art Competitions","Art Competitions Mixed Literature, Lyric Works","Berlin"
"5391","GBR","Gold",2000,"Shooting","Shooting Men's Double Trap","Sydney"
"5392","USA","Bronze",1932,"Diving","Diving Women's Springboard","Los Angeles"
"5393","EGY","Gold",1948,"Weightlifting","Weightlifting Men's Featherweight","London"
"5394","HUN","Gold",2012,"Canoeing","Canoeing Women's Kayak Fours, 500 metres","London"
"5395","YUG","Bronze",1988,"Table Tennis","Table Tennis Women's Doubles","Seoul"
"5396","USA","Bronze",1932,"Boxing","Boxing Men's Heavyweight","Los Angeles"
"5397","UKR","Bronze",2000,"Boxing","Boxing Men's Light-Heavyweight","Sydney"
"5398","SUI","Gold",2008,"Tennis","Tennis Men's Doubles","Beijing"
"5399","SUI","Silver",2012,"Tennis","Tennis Men's Singles","London"
"5400","EUN","Gold",1992,"Shooting","Shooting Men's Air Rifle, 10 metres","Barcelona"
"5401","URS","Silver",1980,"Swimming","Swimming Men's 4 x 100 metres Medley Relay","Moskva"
"5402","RUS","Gold",2004,"Rowing","Rowing Men's Quadruple Sculls","Athina"
"5403","UKR","Silver",2008,"Wrestling","Wrestling Men's Lightweight, Freestyle","Beijing"
"5404","URS","Silver",1964,"Athletics","Athletics Men's Triple Jump","Tokyo"
"5405","URS","Silver",1968,"Diving","Diving Women's Springboard","Mexico City"
"5406","USA","Bronze",1924,"Boxing","Boxing Men's Flyweight","Paris"
"5407","AUT","Gold",1936,"Weightlifting","Weightlifting Men's Lightweight","Berlin"
"5408","RUS","Bronze",2000,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","Sydney"
"5409","GER","Bronze",1928,"Art Competitions","Art Competitions Mixed Painting, Graphic Arts","Amsterdam"
"5410","USA","Silver",2004,"Athletics","Athletics Women's 200 metres","Athina"
"5411","USA","Silver",2008,"Athletics","Athletics Women's 200 metres","Beijing"
"5412","USA","Gold",2008,"Athletics","Athletics Women's 4 x 400 metres Relay","Beijing"
"5413","USA","Gold",2012,"Athletics","Athletics Women's 200 metres","London"
"5414","USA","Gold",2012,"Athletics","Athletics Women's 4 x 100 metres Relay","London"
"5415","USA","Silver",2016,"Athletics","Athletics Women's 400 metres","Rio de Janeiro"
"5416","GBR","Silver",2008,"Modern Pentathlon","Modern Pentathlon Women's Individual","Beijing"
"5417","CHN","Bronze",2008,"Volleyball","Volleyball Women's Volleyball","Beijing"
"5418","CHN","Bronze",2016,"Golf","Golf Women's Individual","Rio de Janeiro"
"5419","SGP","Silver",2008,"Table Tennis","Table Tennis Women's Team","Beijing"
"5420","SGP","Bronze",2012,"Table Tennis","Table Tennis Women's Singles","London"
"5421","SGP","Bronze",2012,"Table Tennis","Table Tennis Women's Team","London"
"5422","CHN","Gold",2012,"Gymnastics","Gymnastics Men's Parallel Bars","London"
"5423","GBR","Gold",1908,"Rowing","Rowing Men's Coxless Pairs","London"
"5424","USA","Gold",1920,"Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres, Team","Antwerpen"
"5425","USA","Gold",1920,"Shooting","Shooting Men's Military Rifle, Prone, 600 metres, Team","Antwerpen"
"5426","USA","Bronze",1920,"Shooting","Shooting Men's Small-Bore Rifle, Standing, 50 metres","Antwerpen"
"5427","USA","Gold",1920,"Shooting","Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team","Antwerpen"
"5428","HUN","Gold",1968,"Fencing","Fencing Men's epee, Team","Mexico City"
"5429","HUN","Gold",1972,"Fencing","Fencing Men's epee, Individual","Munich"
"5430","URS","Bronze",1960,"Boxing","Boxing Men's Middleweight","Roma"
"5431","RUS","Silver",2004,"Athletics","Athletics Women's Pole Vault","Athina"
"5432","RUS","Bronze",2008,"Athletics","Athletics Women's Pole Vault","Beijing"
"5433","FRA","Gold",2012,"Canoeing","Canoeing Women's Kayak Singles, Slalom","London"
"5434","HUN","Bronze",1948,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","London"
"5435","USA","Silver",1972,"Athletics","Athletics Women's 4 x 400 metres Relay","Munich"
"5436","USA","Gold",1964,"Swimming","Swimming Women's 100 metres Backstroke","Tokyo"
"5437","NZL","Gold",1984,"Canoeing","Canoeing Men's Kayak Singles, 500 metres","Los Angeles"
"5438","NZL","Gold",1984,"Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Los Angeles"
"5439","NZL","Gold",1988,"Canoeing","Canoeing Men's Kayak Doubles, 500 metres","Seoul"
"5440","NZL","Silver",1988,"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres","Seoul"
"5441","BAH","Bronze",2004,"Athletics","Athletics Women's 200 metres","Athina"
"5442","HUN","Bronze",1996,"Weightlifting","Weightlifting Men's Lightweight","Atlanta"
"5443","SWE","Gold",1968,"Modern Pentathlon","Modern Pentathlon Men's Individual","Mexico City"
"5444","POR","Silver",2008,"Triathlon","Triathlon Women's Olympic Distance","Beijing"
"5445","FRG","Bronze",1984,"Water Polo","Water Polo Men's Water Polo","Los Angeles"
"5446","ESP","Silver",2004,"Athletics","Athletics Men's 20 kilometres Walk","Athina"
