"","NOC","Medal","Year","Sport","Event","City"
"14143","SWE","Bronze",1924,"Shooting","Shooting Men's Running Target, Double Shot","Paris"
"14144","SWE","Gold",1908,"Shooting","Shooting Men's Running Target, Single Shot","London"
"14145","SWE","Bronze",1908,"Shooting","Shooting Men's Running Target, Double Shot","London"
"14146","SWE","Bronze",1912,"Shooting","Shooting Men's Running Target, Double Shot","Stockholm"
"14147","USA","Bronze",1988,"Judo","Judo Men's Lightweight","Seoul"
"14148","RSA","Bronze",1956,"Cycling","Cycling Men's 1,000 metres Time Trial","Melbourne"
"14149","NED","Silver",1976,"Shooting","Shooting Mixed Skeet","Montreal"
"14150","CAN","Silver",1996,"Cycling","Cycling Women's Mountainbike, Cross-Country","Atlanta"
"14151","URS","Gold",1980,"Swimming","Swimming Men's 400 metres Individual Medley","Moskva"
"14152","UKR","Bronze",2000,"Boxing","Boxing Men's Flyweight","Sydney"
"14153","GBR","Bronze",1908,"Figure Skating","Figure Skating Mixed Pairs","London"
"14154","GBR","Gold",1908,"Figure Skating","Figure Skating Women's Singles","London"
"14155","AUT","Silver",1968,"Athletics","Athletics Women's Pentathlon","Mexico City"
"14156","CZE","Bronze",2012,"Shooting","Shooting Women's Small-Bore Rifle, Three Positions, 50 metres","London"
"14157","UKR","Silver",2000,"Swimming","Swimming Men's 200 metres Butterfly","Sydney"
"14158","CZE","Silver",2008,"Rowing","Rowing Men's Single Sculls","Beijing"
"14159","CZE","Silver",2012,"Rowing","Rowing Men's Single Sculls","London"
"14160","CZE","Bronze",2016,"Rowing","Rowing Men's Single Sculls","Rio de Janeiro"
"14161","URS","Silver",1960,"Wrestling","Wrestling Men's Lightweight, Freestyle","Roma"
"14162","URS","Silver",1980,"Athletics","Athletics Women's 800 metres","Moskva"
"14163","EUN","Silver",1992,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Barcelona"
"14164","RUS","Silver",1996,"Weightlifting","Weightlifting Men's Heavyweight II","Atlanta"
"14165","KAZ","Bronze",2016,"Wrestling","Wrestling Women's Light-Heavyweight, Freestyle","Rio de Janeiro"
"14166","HUN","Gold",1992,"Fencing","Fencing Men's Sabre, Individual","Barcelona"
